capacity,soc,current,half_voltage,final_voltage
924.06,92.41,87.67,2.08,4.16
923.89,92.39,87.66,2.08,4.16
923.72,92.37,87.65,2.09,4.18
923.55,92.35,87.66,2.08,4.16
923.38,92.34,87.67,2.09,4.18
923.21,92.32,87.69,2.09,4.18
923.03,92.3,87.66,2.09,4.18
922.86,92.29,87.67,2.08,4.16
922.69,92.27,87.66,2.09,4.18
922.52,92.25,87.61,2.09,4.18
922.35,92.23,87.6,2.09,4.18
922.18,92.22,87.56,2.09,4.18
922.01,92.2,87.54,2.09,4.18
921.84,92.18,87.51,2.09,4.18
921.67,92.17,87.5,2.09,4.18
921.5,92.15,87.48,2.09,4.18
921.33,92.13,87.5,2.09,4.18
921.16,92.12,87.65,2.09,4.18
920.99,92.1,87.81,2.09,4.18
920.82,92.08,88.12,2.08,4.16
920.65,92.06,88.13,2.08,4.16
920.48,92.05,88.15,2.08,4.16
920.3,92.03,88.09,2.08,4.16
920.13,92.01,87.96,2.08,4.16
919.96,92,87.87,2.09,4.18
919.79,91.98,87.77,2.09,4.18
919.62,91.96,87.75,2.09,4.18
919.45,91.94,87.72,2.09,4.18
919.28,91.93,87.7,2.09,4.18
919.11,91.91,87.77,2.08,4.16
918.94,91.89,87.85,2.09,4.18
918.77,91.88,87.83,2.09,4.18
918.6,91.86,87.76,2.09,4.18
918.43,91.84,87.78,2.09,4.18
918.26,91.82,87.73,2.09,4.18
918.09,91.81,87.72,2.09,4.18
917.92,91.79,87.69,2.09,4.18
917.74,91.77,87.7,2.09,4.18
917.57,91.76,87.7,2.09,4.18
917.4,91.74,87.71,2.09,4.18
917.23,91.72,87.67,2.09,4.18
917.06,91.71,87.64,2.1,4.2
916.89,91.69,87.59,2.09,4.18
916.72,91.67,87.6,2.09,4.18
916.55,91.65,87.58,2.09,4.18
916.38,91.64,87.56,2.09,4.18
916.21,91.62,87.52,2.09,4.18
916.04,91.6,87.51,2.09,4.18
915.87,91.59,87.54,2.09,4.18
915.7,91.57,87.52,2.09,4.18
915.53,91.55,87.56,2.09,4.18
915.36,91.53,87.51,2.09,4.18
915.18,91.52,87.5,2.09,4.18
915.01,91.5,87.46,2.1,4.2
914.84,91.48,87.46,2.1,4.2
914.67,91.47,87.45,2.1,4.2
914.5,91.45,87.44,2.1,4.2
914.33,91.43,87.44,2.09,4.18
914.16,91.42,87.43,2.1,4.2
913.99,91.4,87.42,2.09,4.18
913.82,91.38,87.38,2.1,4.2
913.65,91.36,87.41,2.1,4.2
913.48,91.35,87.43,2.1,4.2
913.31,91.33,87.45,2.09,4.18
913.14,91.31,87.42,2.1,4.2
912.97,91.3,87.46,2.1,4.2
912.8,91.28,87.46,2.1,4.2
912.63,91.26,87.44,2.09,4.18
912.45,91.24,87.43,2.1,4.2
