capacity,soc,current,half_voltage,final_voltage
1024.74,93.16,47.46,2.02,4.04
1024.57,93.14,47.48,2.05,4.1
1024.4,93.13,47.48,2.02,4.04
1024.23,93.11,47.49,2.02,4.04
1024.06,93.09,47.47,2.02,4.04
1023.89,93.08,47.48,2.02,4.04
1023.72,93.06,47.48,2.02,4.04
1023.55,93.05,47.48,2.02,4.04
1023.38,93.03,47.46,2.02,4.04
1023.21,93.02,47.49,2.02,4.04
1023.03,93,47.47,2.02,4.04
1022.86,92.99,47.48,2.02,4.04
1022.69,92.97,47.46,2.02,4.04
1022.52,92.95,47.49,2.02,4.04
1022.35,92.94,47.47,2.02,4.04
1022.18,92.92,47.46,2.02,4.04
1022.01,92.91,47.49,2.02,4.04
1021.84,92.89,47.47,2.02,4.04
1021.67,92.88,47.46,2.02,4.04
1021.5,92.86,47.46,2.02,4.04
1021.33,92.85,47.47,2.02,4.04
1021.16,92.83,47.46,2.02,4.04
1020.99,92.82,47.47,2.02,4.04
1020.82,92.8,47.48,2.02,4.04
1020.65,92.78,47.49,2.02,4.04
1020.48,92.77,47.46,2.02,4.04
1020.3,92.75,47.47,2.02,4.04
1020.13,92.74,47.45,2.02,4.04
1019.96,92.72,47.45,2.02,4.04
1019.79,92.71,47.48,2.02,4.04
1019.62,92.69,47.47,2.02,4.04
1019.45,92.68,47.44,2.02,4.04
1019.28,92.66,47.46,2.02,4.04
1019.11,92.64,47.48,2.02,4.04
1018.94,92.63,47.48,2.02,4.04
1018.77,92.61,47.47,2.02,4.04
1018.6,92.6,47.47,2.04,4.08
1018.43,92.58,47.46,2.02,4.04
1018.26,92.57,47.46,2.02,4.04
1018.09,92.55,47.46,2.02,4.04
1017.92,92.54,47.64,2.02,4.04
1017.74,92.52,47.51,2.02,4.04
1017.57,92.5,47.45,2.02,4.04
1017.4,92.49,47.45,2.02,4.04
1017.23,92.47,47.44,2.02,4.04
1017.06,92.46,47.45,2.02,4.04
1016.89,92.44,47.45,2.02,4.04
1016.72,92.43,47.43,2.02,4.04
1016.55,92.41,47.44,2.02,4.04
1016.38,92.4,47.46,2.02,4.04
1016.21,92.38,47.44,2.02,4.04
1016.04,92.37,47.42,2.02,4.04
1015.87,92.35,47.44,2.01,4.02
1015.7,92.33,47.44,2.01,4.02
1015.53,92.32,47.44,2.02,4.04
1015.36,92.3,47.46,2.02,4.04
1015.18,92.29,47.45,2.02,4.04
1015.01,92.27,47.46,2.02,4.04
1014.84,92.26,47.46,2.04,4.08
1014.67,92.24,47.46,2.02,4.04
1014.5,92.23,47.48,2.04,4.08
1014.33,92.21,47.47,2.02,4.04
1014.16,92.19,47.45,2.02,4.04
1013.99,92.18,47.47,2.02,4.04
1013.82,92.16,47.46,2.02,4.04
1013.65,92.15,47.45,2.02,4.04
1013.48,92.13,47.45,2.01,4.02
1013.31,92.12,47.44,2.02,4.04
1013.14,92.1,47.46,2.02,4.04
1012.97,92.09,47.45,2.02,4.04
1012.8,92.07,47.45,2.02,4.04
1012.63,92.05,47.43,2.02,4.04
1012.45,92.04,47.45,2.02,4.04
1012.28,92.02,47.46,2.02,4.04
1012.11,92.01,47.45,2.02,4.04
1011.94,91.99,47.44,2.02,4.04
1011.77,91.98,47.45,2.02,4.04
1011.6,91.96,47.45,2.02,4.04
1011.43,91.95,47.44,2.02,4.04
1011.26,91.93,47.45,2.02,4.04
1011.09,91.92,47.45,2.02,4.04
1010.92,91.9,47.45,2.02,4.04
1010.75,91.88,47.43,2.02,4.04
1010.58,91.87,47.44,2.02,4.04
1010.41,91.85,47.42,2.02,4.04
1010.24,91.84,47.43,2.02,4.04
1010.07,91.82,47.46,2.02,4.04
1009.89,91.81,47.48,2.02,4.04
1009.72,91.79,47.48,2.02,4.04
1009.55,91.78,47.48,2.02,4.04
1009.38,91.76,47.49,2.02,4.04
1009.21,91.74,47.48,2.02,4.04
1009.04,91.73,47.47,2.02,4.04
1008.87,91.71,47.46,2.02,4.04
1008.7,91.7,47.47,2.02,4.04
1008.53,91.68,47.47,2.02,4.04
1008.36,91.67,47.48,2.02,4.04
1008.19,91.65,47.48,2.02,4.04
1008.02,91.64,47.47,2.04,4.08
1007.85,91.62,47.48,2.02,4.04
1007.68,91.6,47.49,2.02,4.04
1007.51,91.59,47.48,2.02,4.04
1007.33,91.57,47.48,2.02,4.04
1007.16,91.56,47.49,2.02,4.04
1006.99,91.54,47.49,2.02,4.04
1006.82,91.53,47.48,2.02,4.04
1006.65,91.51,47.48,2.02,4.04
1006.48,91.5,47.49,2.02,4.04
